P0, T0, V0, sigmaKsi, sigmaTau, sigma, 
0.483241, 70.0526, -0.00550087, 0.0147603, 0.00327158, 0.0262725, 
0.48317, 70.0533, -0.00522291, 0.0148027, 0.00327273, 0.0263411, 
0.483879, 70.0541, -0.00542825, 0.0148464, 0.00327237, 0.0262948, 
0.485469, 70.0539, -0.00552717, 0.0148687, 0.00327208, 0.0263273, 
0.486934, 70.0528, -0.00613398, 0.0149131, 0.00327163, 0.0264176, 
0.48758, 70.0513, -0.00660922, 0.0149611, 0.00327212, 0.0265102, 
0.488176, 70.0503, -0.00716663, 0.015044, 0.00327388, 0.0265044, 
0.488972, 70.0492, -0.00758645, 0.0150987, 0.00327609, 0.0264474, 
0.489791, 70.0482, -0.00788486, 0.0151779, 0.00327673, 0.0264195, 
0.490547, 70.0475, -0.00813319, 0.0152544, 0.00327689, 0.0263799, 
0.490924, 70.0477, -0.0083757, 0.0153218, 0.00327903, 0.0263302, 
0.49092, 70.0473, -0.00802283, 0.0154027, 0.00328131, 0.0262477, 
0.491234, 70.0472, -0.00794658, 0.0154911, 0.00328165, 0.0261924, 
0.491664, 70.0481, -0.00832963, 0.0155833, 0.00328207, 0.0262168, 
0.492846, 70.0502, -0.00908849, 0.0157068, 0.00328299, 0.0263162, 
0.493401, 70.0523, -0.0101445, 0.0158607, 0.0032837, 0.0263883, 
0.494523, 70.0535, -0.0115923, 0.0160442, 0.00328404, 0.0265064, 
0.494813, 70.0546, -0.0124446, 0.016195, 0.00328439, 0.0265469, 
0.494807, 70.0555, -0.0132703, 0.0163397, 0.00328361, 0.0266116, 
0.494247, 70.0561, -0.0143755, 0.0164623, 0.00328206, 0.0266773, 
0.493727, 70.057, -0.0155834, 0.0165456, 0.00328102, 0.0268141, 
0.493387, 70.0585, -0.0165376, 0.0166573, 0.00327882, 0.0270218, 
0.493715, 70.0595, -0.0170791, 0.0167619, 0.00327518, 0.0270816, 
0.494019, 70.059, -0.0176961, 0.0168678, 0.00327182, 0.0271304, 
0.49417, 70.0579, -0.0176435, 0.0169885, 0.00326948, 0.0271519, 
0.494161, 70.0573, -0.0177695, 0.0171296, 0.00326787, 0.0272413, 
0.494216, 70.0568, -0.0178179, 0.0172421, 0.00326751, 0.0271907, 
0.494591, 70.0559, -0.01776, 0.0173304, 0.00326811, 0.0271898, 
0.493809, 70.0547, -0.0171398, 0.0174276, 0.00326775, 0.0270587, 
0.493098, 70.0531, -0.0164708, 0.0175496, 0.00326736, 0.0269219, 
0.492434, 70.0515, -0.0159069, 0.0176774, 0.00326688, 0.0268012, 
0.49114, 70.0514, -0.015436, 0.0178137, 0.00326744, 0.026813, 
0.489652, 70.0513, -0.0154324, 0.0179667, 0.0032689, 0.026897, 
0.488261, 70.0508, -0.0152384, 0.0181167, 0.00327053, 0.0269142, 
0.487566, 70.0497, -0.0145938, 0.0182876, 0.00327376, 0.0268398, 
0.487001, 70.0482, -0.0141683, 0.0184657, 0.00327638, 0.0268218, 
0.486938, 70.0466, -0.013599, 0.0186634, 0.00327791, 0.0268562, 
0.485643, 70.0454, -0.0131024, 0.0188648, 0.00327883, 0.0270587, 
0.484748, 70.0438, -0.0124977, 0.0190589, 0.00327966, 0.0272395, 
0.483917, 70.0423, -0.0122061, 0.0192354, 0.00328105, 0.0274743, 
0.483321, 70.0398, -0.0117771, 0.0194065, 0.00328146, 0.0277694, 
0.482762, 70.0384, -0.0114516, 0.0195544, 0.00328058, 0.0280216, 
0.482309, 70.0369, -0.0108651, 0.0196548, 0.00327931, 0.028277, 
0.482436, 70.036, -0.00999507, 0.0197574, 0.00327954, 0.0282986, 
0.482633, 70.0357, -0.0100652, 0.019858, 0.00328004, 0.0282604, 
0.482598, 70.0355, -0.00988299, 0.0200039, 0.00328123, 0.0282538, 
0.482855, 70.0355, -0.00972111, 0.020166, 0.00328268, 0.0282179, 
0.483213, 70.0367, -0.00956245, 0.0203353, 0.0032843, 0.0282229, 
0.48386, 70.0387, -0.00933401, 0.0205018, 0.00328733, 0.0282456, 
0.484214, 70.0403, -0.00929777, 0.0206471, 0.00329131, 0.0282504, 
0.484362, 70.0411, -0.00903428, 0.0208085, 0.00329383, 0.0283108, 
0.483991, 70.0409, -0.00894336, 0.0209555, 0.00329566, 0.0283239, 
0.483817, 70.0404, -0.00913207, 0.0211028, 0.00329794, 0.0283261, 
0.483529, 70.0394, -0.00935431, 0.0212494, 0.00329847, 0.0283126, 
0.483259, 70.0377, -0.00950055, 0.021381, 0.00329806, 0.0283951, 
0.483003, 70.0356, -0.00936893, 0.0215152, 0.00329861, 0.0285272, 
0.481875, 70.0332, -0.00936449, 0.0216193, 0.0032976, 0.0286127, 
0.480861, 70.0312, -0.00957034, 0.0217215, 0.00329607, 0.0286279, 
0.480587, 70.0297, -0.00984355, 0.0218635, 0.00329472, 0.0286549, 
0.480545, 70.0282, -0.0100879, 0.0220031, 0.0032928, 0.0286583, 
0.480798, 70.0274, -0.0104796, 0.022175, 0.0032898, 0.0286874, 
